sex,age,height,weight,team,year,season,sport,medaled
0,17,184,82,Ghana,2016,Summer,Weightlifting,FALSE
0,32,190,104,Kenya,2016,Summer,Rugby Sevens,FALSE
1,29,186,84,Brazil,2016,Summer,Handball,FALSE
0,22,179,60,Botswana,2016,Summer,Athletics,FALSE
0,24,170,61,Refugee Olympic Athletes,2016,Summer,Athletics,FALSE
0,26,191,100,Ghana,2016,Summer,Athletics,FALSE
1,23,171,52,Ghana,2016,Summer,Athletics,FALSE
1,23,171,52,Ghana,2016,Summer,Athletics,FALSE
1,27,160,58,Tunisia,2016,Summer,Wrestling,TRUE
1,19,NA,55,Nigeria,2016,Summer,Athletics,FALSE
0,20,171,85,Nigeria,2016,Summer,Football,TRUE
0,28,183,64,France,2016,Summer,Boxing,FALSE
0,22,169,66,South Korea,2016,Summer,Judo,TRUE
0,24,186,95,South Korea,2016,Summer,Golf,FALSE
0,22,170,73,South Korea,2016,Summer,Judo,FALSE
1,28,168,54,South Korea,2016,Summer,Hockey,FALSE
1,20,168,57,South Korea,2016,Summer,Swimming,FALSE
1,20,168,57,South Korea,2016,Summer,Swimming,FALSE
1,24,161,46,South Korea,2016,Summer,Athletics,FALSE
1,28,172,67,Brazil,2016,Summer,Handball,FALSE
